,,,,,,,Daily Price Arrival Report-01-06-2026 to 08-07-2026 for Andhra Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,600.00","2,000.00","1,800.00",Rs./Quintal,2.30,Metric Tonnes,30-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,600.00","2,000.00","1,800.00",Rs./Quintal,1.70,Metric Tonnes,29-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,600.00","2,000.00","1,800.00",Rs./Quintal,2.10,Metric Tonnes,28-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,000.00","1,500.00","1,300.00",Rs./Quintal,5.10,Metric Tonnes,27-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,600.00","2,000.00","1,800.00",Rs./Quintal,2.10,Metric Tonnes,26-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,600.00","2,000.00","1,800.00",Rs./Quintal,3.30,Metric Tonnes,25-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,500.00","2,000.00","1,800.00",Rs./Quintal,3.60,Metric Tonnes,24-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,500.00","2,000.00","1,800.00",Rs./Quintal,4.60,Metric Tonnes,23-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,500.00","2,000.00","1,800.00",Rs./Quintal,3.10,Metric Tonnes,22-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,500.00","2,000.00","1,800.00",Rs./Quintal,1.90,Metric Tonnes,21-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,500.00","2,000.00","1,800.00",Rs./Quintal,3.80,Metric Tonnes,20-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,600.00","2,000.00","1,800.00",Rs./Quintal,8.50,Metric Tonnes,19-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,600.00","2,000.00","1,800.00",Rs./Quintal,2.90,Metric Tonnes,17-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,600.00","2,000.00","1,800.00",Rs./Quintal,3.10,Metric Tonnes,16-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,700.00",Rs./Quintal,2.50,Metric Tonnes,15-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,600.00","2,000.00","1,800.00",Rs./Quintal,5.10,Metric Tonnes,14-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,200.00","1,800.00","1,500.00",Rs./Quintal,2.60,Metric Tonnes,13-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,800.00",Rs./Quintal,2.00,Metric Tonnes,12-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,800.00",Rs./Quintal,3.00,Metric Tonnes,11-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,800.00",Rs./Quintal,3.10,Metric Tonnes,10-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,800.00",Rs./Quintal,3.10,Metric Tonnes,09-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,600.00",Rs./Quintal,2.30,Metric Tonnes,08-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,800.00",Rs./Quintal,2.30,Metric Tonnes,08-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,600.00",Rs./Quintal,2.10,Metric Tonnes,07-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,800.00",Rs./Quintal,2.20,Metric Tonnes,07-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,600.00",Rs./Quintal,7.60,Metric Tonnes,06-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,200.00","2,000.00","1,600.00",Rs./Quintal,3.20,Metric Tonnes,06-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,600.00",Rs./Quintal,2.20,Metric Tonnes,05-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,200.00","1,600.00","1,400.00",Rs./Quintal,4.80,Metric Tonnes,05-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,800.00",Rs./Quintal,1.90,Metric Tonnes,04-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,000.00","1,600.00","1,200.00",Rs./Quintal,3.10,Metric Tonnes,04-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,400.00","2,000.00","1,700.00",Rs./Quintal,2.00,Metric Tonnes,03-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,600.00","2,000.00","1,800.00",Rs./Quintal,2.00,Metric Tonnes,02-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,200.00","1,600.00","1,400.00",Rs./Quintal,1.90,Metric Tonnes,02-06-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,100.00","1,500.00","1,300.00",Rs./Quintal,5.20,Metric Tonnes,01-07-2026
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Potato,Potato,FAQ,"1,200.00","1,600.00","1,400.00",Rs./Quintal,1.90,Metric Tonnes,01-06-2026

